Library;Version;Reason;License;Repository
@emotion/react;11.9.3;Updated;MIT;https://github.com/emotion-js/emotion/tree/main/packages/react
@emotion/styled;11.9.3;Updated;MIT;https://github.com/emotion-js/emotion/tree/main/packages/styled
@hookform/resolvers;2.9.5;Updated;MIT;https://github.com/react-hook-form/resolvers
@material-tailwind/react;1.0.6;Updated;MIT;https://github.com/creativetimofficial/material-tailwind
@mui/icons-material;5.8.4;Updated;MIT;https://github.com/mui-org/material-ui
@mui/material;5.8.7;Updated;MIT;https://github.com/mui-org/material-ui
@reduxjs/toolkit;1.8.3;Updated;MIT;https://github.com/reduxjs/redux-toolkit
axios;0.27.2;Updated;MIT;https://github.com/axios/axios
i18next;21.8.13;Updated;MIT;https://github.com/i18next/i18next
lodash;4.17.21;Updated;MIT;https://github.com/lodash/lodash
moment;2.29.4;Updated;MIT;https://github.com/moment/moment
react;18.2.0;Updated;MIT;https://github.com/facebook/react
react-apexcharts;1.4.0;Updated;MIT;https://github.com/apexcharts/react-apexcharts
react-cookie-consent;7.5.0;Updated;MIT;https://github.com/Mastermindzh/react-cookie-consent
react-dom;18.2.0;Updated;MIT;https://github.com/facebook/react
react-hook-form;7.33.1;Updated;MIT;https://github.com/react-hook-form/react-hook-form
react-i18next;11.18.0;Updated;MIT;https://github.com/i18next/react-i18next
react-moment;1.1.2;Updated;MIT;https://github.com/headzoo/react-moment
react-on-screen;2.1.1;Updated;MIT;https://github.com/fkhadra/react-on-screen
react-redux;8.0.2;Updated;MIT;https://github.com/reduxjs/react-redux
react-router-dom;6.3.0;Updated;MIT;https://github.com/remix-run/react-router
react-scripts;5.0.1;Updated;MIT;https://github.com/facebook/create-react-app
react-toastify;9.0.5;Updated;MIT;https://github.com/fkhadra/react-toastify
redux-logger;3.0.6;Updated;MIT;https://github.com/theaqua/redux-logger
redux-thunk;2.4.1;Updated;MIT;https://github.com/reduxjs/redux-thunk
yup;0.32.11;Updated;MIT;https://github.com/jquense/yup
